Date,Open,High,Low,Close,Adj Close,Volume
2023-02-20,3506.000000,3522.000000,3475.199951,3486.100098,3409.728027,43050
2023-02-21,3489.000000,3507.949951,3445.000000,3449.399902,3373.832031,102243
2023-02-22,3424.899902,3447.550049,3395.100098,3400.550049,3326.052490,41593
2023-02-23,3410.500000,3453.750000,3408.000000,3414.100098,3339.305664,41914
2023-02-24,3421.199951,3434.000000,3382.550049,3400.050049,3325.563232,35329
2023-02-27,3397.899902,3397.899902,3317.300049,3331.850098,3258.857422,30683
2023-02-28,3331.850098,3392.000000,3300.050049,3314.149902,3241.544922,56090
2023-03-01,3326.500000,3389.050049,3320.000000,3385.850098,3311.674316,48789
2023-03-02,3369.949951,3369.949951,3318.000000,3321.149902,3248.391602,48727
2023-03-03,3360.000000,3360.000000,3331.000000,3342.750000,3269.518311,15677
2023-03-06,3356.000000,3404.000000,3356.000000,3371.500000,3297.638916,57870
2023-03-08,3361.000000,3395.000000,3331.699951,3389.699951,3315.440186,30873
2023-03-09,3389.699951,3389.699951,3329.000000,3337.449951,3264.334717,48171
2023-03-10,3311.000000,3337.000000,3295.000000,3331.050049,3258.074951,54663
2023-03-13,3331.050049,3369.250000,3272.000000,3282.399902,3210.490723,81352
2023-03-14,3275.550049,3304.000000,3210.000000,3216.850098,3146.376709,240605
2023-03-15,3242.550049,3261.199951,3191.000000,3198.750000,3128.673096,95877
2023-03-16,3196.000000,3219.000000,3171.449951,3184.750000,3114.979980,52784
2023-03-17,3151.000000,3220.000000,3145.000000,3178.949951,3109.306885,269767
2023-03-20,3173.500000,3173.500000,3096.100098,3141.199951,3072.383789,52684
2023-03-21,3145.000000,3155.000000,3097.000000,3105.899902,3037.857178,34240
2023-03-22,3121.350098,3143.600098,3106.100098,3130.699951,3062.113770,33080
2023-03-23,3117.000000,3144.000000,3100.800049,3124.000000,3055.560547,26541
2023-03-24,3145.000000,3169.699951,3108.800049,3121.449951,3053.066406,34882
2023-03-27,3123.850098,3151.949951,3105.850098,3120.100098,3051.746582,77555
2023-03-28,3122.000000,3145.350098,3110.000000,3115.500000,3047.246826,31013
2023-03-29,3125.000000,3149.000000,3105.000000,3138.100098,3069.351563,25771
2023-03-31,3191.000000,3214.000000,3153.000000,3205.800049,3135.568848,39813
2023-04-03,3225.000000,3225.000000,3175.000000,3199.250000,3129.162354,29210
2023-04-05,3190.000000,3263.600098,3185.750000,3236.800049,3165.889648,188173
2023-04-06,3227.500000,3256.899902,3216.699951,3221.699951,3151.120361,139159
2023-04-10,3217.000000,3271.000000,3215.550049,3263.199951,3191.711426,101932
2023-04-11,3275.000000,3275.000000,3193.199951,3214.250000,3143.833496,103589
2023-04-12,3218.000000,3259.949951,3200.000000,3242.100098,3171.073486,126563
2023-04-13,3210.050049,3226.000000,3181.050049,3189.850098,3119.968262,232961
2023-04-17,3150.000000,3163.350098,3070.300049,3139.600098,3070.819092,191858
2023-04-18,3148.050049,3155.800049,3111.300049,3131.300049,3062.700684,151970
2023-04-19,3126.000000,3132.050049,3072.350098,3088.699951,3021.034180,185687
2023-04-20,3100.000000,3112.949951,3079.000000,3104.449951,3036.438965,76175
2023-04-21,3101.000000,3165.750000,3101.000000,3161.649902,3092.385742,58734
2023-04-24,3151.000000,3180.600098,3126.600098,3174.149902,3104.612061,122196
2023-04-25,3180.000000,3190.850098,3148.899902,3175.300049,3105.737061,76223
2023-04-26,3176.000000,3207.000000,3176.000000,3199.699951,3129.602295,40943
2023-04-27,3200.000000,3200.000000,3171.000000,3187.100098,3117.278564,80128
2023-04-28,3208.000000,3227.199951,3197.149902,3216.000000,3145.545166,51644
2023-05-02,3217.000000,3232.100098,3211.000000,3219.199951,3148.675293,69567
2023-05-03,3209.050049,3215.750000,3174.050049,3180.300049,3110.627686,53799
2023-05-04,3191.949951,3224.500000,3181.000000,3220.350098,3149.799805,74186
2023-05-05,3220.300049,3242.899902,3210.000000,3230.850098,3160.070313,23445
2023-05-08,3230.850098,3253.000000,3230.850098,3249.949951,3178.751465,53011
2023-05-09,3247.000000,3298.199951,3246.500000,3283.899902,3211.957764,23799
2023-05-10,3288.000000,3306.300049,3268.000000,3285.949951,3213.962646,62216
2023-05-11,3306.000000,3309.000000,3272.500000,3281.500000,3209.610352,22830
2023-05-12,3281.500000,3290.000000,3259.350098,3273.750000,3202.029785,19204
2023-05-15,3280.500000,3292.750000,3249.149902,3253.149902,3181.881104,20898
2023-05-16,3262.000000,3283.899902,3250.750000,3257.000000,3185.646973,20043
2023-05-17,3251.000000,3272.449951,3198.649902,3209.100098,3138.796387,21459
2023-05-18,null,null,null,null,null,null
2023-05-19,3204.000000,3233.949951,3202.100098,3221.750000,3151.169434,38600
2023-05-22,3222.850098,3308.000000,3218.149902,3297.949951,3225.699707,37822
2023-05-23,3308.000000,3328.949951,3290.449951,3295.699951,3223.499023,32867
2023-05-24,3268.000000,3317.350098,3268.000000,3301.050049,3228.732178,11292
2023-05-25,3290.000000,3305.649902,3267.850098,3294.750000,3222.570068,30397
2023-05-26,3288.050049,3339.000000,3288.050049,3329.000000,3256.069824,66787
2023-05-29,null,null,null,null,null,null
2023-05-30,3317.000000,3326.300049,3302.000000,3314.800049,3242.180908,39929
2023-05-31,3314.800049,3327.550049,3271.000000,3291.000000,3218.902100,28339
2023-06-01,3310.000000,3339.800049,3295.000000,3323.300049,3250.494629,62779
2023-06-02,3316.199951,3336.750000,3296.600098,3304.399902,3232.008545,22900
2023-06-05,3313.000000,3325.850098,3285.000000,3289.600098,3217.532959,35207
